name,categories,image_urls,local_path
a desert landscape with a mountain range in the background,"exploring,remote place,neom,scenic,explorer,Hq background images,exploration,hiker,Travel images,destination,traveller,experience,walking,hiking,explore,adventurer,adventure,hike,travel destination,nature reserve,Creative Commons images",https://images.unsplash.com/photo-1682686581427-7c80ab60e3f3?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a desert landscape with a mountain range in the background.jpg
a man standing in front of a white wall wearing a blindfold,"virtual reality,tech,technology,vr,vr headset,poc,people of colour,man,adult,male,human,People images & pictures,sleeve,head,face,Free stock photos",https://plus.unsplash.com/premium_photo-1711508491465-1f242f42c826?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a man standing in front of a white wall wearing a blindfold.jpg
a palm tree sitting on top of a sandy beach,"Hd grey wallpapers,outdoors,Nature images,Hd sky wallpapers,horizon,Hd scenery wallpapers,Tree images & pictures,Palm tree pictures & images,arecaceae,Landscape images & pictures,Hd water wallpapers,shoreline,sea,Hd ocean wallpapers,coast,Beach images & pictures,Hd tropical wallpapers,Summer images & pictures,HD Wallpapers",https://images.unsplash.com/photo-1707343843344-011332037abb?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a palm tree sitting on top of a sandy beach.jpg
a white flower with a light blue background,"Nature images,petal,blossom,Flower images,anther,anemone,pollen,Rose images,Free images",https://plus.unsplash.com/premium_photo-1711581810682-945e9ab90dd6?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a white flower with a light blue background.jpg
a man standing in a narrow canyon between two mountains,"saudi arabia,negative space,experience,exploration,Hd wallpapers,Hq background images,travel destination,neom,wadi,wadi sheea’b musa,sheea’b musa,exploring,explore,Nature images,outdoors,Hd cave wallpapers,People images & pictures,rock,Mountain images & pictures,valley,Creative Commons images",https://images.unsplash.com/photo-1682685796965-9814afcbff55?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a man standing in a narrow canyon between two mountains.jpg
the back of a man with no shirt on,"skin,body,skin texture,skin detail,head,face,human,People images & pictures,neck,male,man,adult,back,hair,necklace,jewelry,accessory,accessories,shoulder,Creative Commons images",https://plus.unsplash.com/premium_photo-1711610269209-01c579f14cd2?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\the back of a man with no shirt on.jpg
a person swimming over a colorful coral reef,"Hd blue wallpapers,outdoors,Nature images,Hd water wallpapers,human,male,People images & pictures,adult,man,underwater,sea life,Animals images & pictures,Fish images,ocean floor,aqua scuba,adventure,scuba diving,Backgrounds",https://images.unsplash.com/photo-1707343848655-a196bfe88861?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a person swimming over a colorful coral reef.jpg
a man standing in front of a mirror wearing a virtual reality headset,"virtual reality,tech,vr,technology,vr headset,people of colour,poc,sleeve,head,face,performer,solo performance,Creative Commons images",https://plus.unsplash.com/premium_photo-1711508493094-da6e19a64df9?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a man standing in front of a mirror wearing a virtual reality headset.jpg
a person sitting on top of a sand dune,"Nature images,sand,adventurer,destination,Travel images,traveller,hiking,explore,outdoors,male,People images & pictures,adult,man,photography,horizon,Hd sky wallpapers,sitting,Desert images,hoodie,knitwear,Public domain images",https://images.unsplash.com/photo-1682687219356-e820ca126c92?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a person sitting on top of a sand dune.jpg
a table topped with rolls covered in cheese and eggs,"easter breakfast,hot cross buns,easter bread,Easter images,easter food,easter dishes,easter eggs,easter table decor,easter table,delicious food,easter celebrations,food photography,food styling,eastern food,brunch,Food images & pictures,food presentation,bread,bun,dessert,Public domain images",https://plus.unsplash.com/premium_photo-1710267557925-4c05618b8caf?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a table topped with rolls covered in cheese and eggs.jpg
a statue of a person holding a tray of food,"da nang,vietnam,statue,Buddha images,Brown backgrounds,Hd art wallpapers,Wedding backgrounds,human,bride,People images & pictures,female,adult,Women images & pictures,face,head,sculpture,Free images",https://images.unsplash.com/photo-1709710223854-a71ea632a964?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a statue of a person holding a tray of food.jpg
a green car parked in front of a building,"Italy pictures & images,troia,province of foggia,Car images & pictures,lantern,puglia,vintage car,Vintage backgrounds,automobile,vehicle,town,Hd city wallpapers,machine,wheel,Free stock photos",https://images.unsplash.com/photo-1711377785726-47c7dd8773ff?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a green car parked in front of a building.jpg
a woman standing in front of a window with shutters open,"human,Women images & pictures,adult,People images & pictures,female,pants,face,head,shelter,outdoors,Free pictures",https://images.unsplash.com/photo-1711500068965-3015efb697ce?q=80&w=1000&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,D:\GeekBrains\DATA ENGINEER\Сбор и разметка данных\Conda_projects\Seminar_6\unsplash\images\a woman standing in front of a window with shutters open.jpg
